original_title,belongs_to_collection,original_language,budget,popularity,production_countries,runtime,spoken_languages,vote_average,vote_count,revenue,Foreign,Science Fiction,Romance,Action,Crime,Thriller,Family,Fantasy,Western,War,Horror,History,Animation,Comedy,Adventure,Mystery,Documentary,Music,Drama,release_year,production_companies_count,crew,cast
Billy Madison,0,1,10000000.0,6.638116,1,89.0,3,6.2,464.0,26488734.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,1,30,17
Boys on the Side,0,1,21000000.0,3.030309,2,115.0,1,6.3,48.0,23450000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,5,10,6
Clerks,1,1,27000.0,10.513367,1,92.0,1,7.4,769.0,3151130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1994,2,7,15
Don Juan DeMarco,0,1,25000000.0,7.438934,1,97.0,1,6.3,184.0,22200000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1994,2,12,13
Disclosure,0,1,55000000.0,11.812244,1,123.0,1,5.9,217.0,214015089.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1994,2,6,12
Dumb and Dumber,1,1,16000000.0,9.844558,1,107.0,1,6.5,1894.0,247275374.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1994,2,85,80
Ed Wood,0,1,18000000.0,11.720358,1,127.0,1,7.3,639.0,5887457.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1994,1,52,68
Hideaway,0,1,15000000.0,8.182165,1,103.0,1,5.0,24.0,12201255.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,1,4,7
Hoop Dreams,0,1,700000.0,9.47666,1,171.0,1,7.7,91.0,7830611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,2,3,3
Heavenly Creatures,0,1,5000000.0,9.438042,1,99.0,1,6.9,299.0,3049135.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1994,4,10,14
Houseguest,0,1,10500000.0,2.688562,0,113.0,2,6.0,17.0,26325256.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1995,2,1,8
Interview with the Vampire,1,1,60000000.0,11.970205,1,123.0,2,7.2,1558.0,223664608.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1994,1,18,15
Jefferson in Paris,0,1,14000000.0,1.596058,1,139.0,1,5.2,10.0,2474000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,2,4,14
Junior,0,1,60000000.0,6.710215,1,109.0,1,4.7,381.0,37000000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1994,2,9,66
Star Wars,1,1,11000000.0,42.149697,1,121.0,1,8.1,6778.0,775398007.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1977,2,20,106
Como agua para chocolate,0,0,2000000.0,4.126083,1,105.0,2,6.6,70.0,21665468.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1992,2,35,15
Legends of the Fall,0,1,30000000.0,12.199047,1,133.0,2,7.2,636.0,160638883.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1994,3,17,25
Losing Isaiah,0,1,17000000.0,7.698526,1,106.0,1,6.4,28.0,7603766.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,1,7,10
Frankenstein,0,1,45000000.0,14.287753,3,123.0,1,6.1,272.0,112006296.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1994,2,15,20
Miami Rhapsody,0,1,6.0,1.137266,1,95.0,1,5.6,7.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,1,2,6
Nell,0,1,31000000.0,5.930957,1,112.0,1,6.1,128.0,106683817.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,3,15,26
Natural Born Killers,0,1,34000000.0,11.226856,1,119.0,3,6.9,927.0,50282766.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,6,20,47
Outbreak,0,1,50000000.0,13.676444,1,127.0,3,6.4,522.0,189859560.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,4,13,14
Léon,0,0,16000000.0,20.477329,2,110.0,1,8.2,4293.0,45284974.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,2,19,39
The Perez Family,0,1,11000000.0,1.433544,1,113.0,1,6.6,9.0,2832826.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,1,19,7
Pulp Fiction,0,1,8000000.0,140.950236,1,154.0,3,8.3,8670.0,213928762.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,3,87,54
