ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price,Inches_OpSys_Weight,Inches_Cpu_Gpu,Company_Cpu,Inches_OpSys_Weight_Inches_Cpu_Gpu
8,97,9,16,72,5,1167.9311188733395,4970,97776,194,485946720
8,97,9,16,53,5,1485.0824304180478,725,25705,679,18636125
5,102,5,12,75,5,2935.6798006541035,6580,107100,408,704718000
8,102,9,18,76,5,1333.7931341357598,11520,124032,1122,1428848640
15,74,9,16,53,5,1049.0132823102765,6860,54908,1184,376668880
8,97,9,18,53,5,1483.9700091218544,7500,51410,194,385575000
8,56,6,10,47,5,499.4771619907891,5180,36848,560,190872640
8,102,9,16,75,5,1111.3088748971008,9170,107100,204,982107000
8,78,9,16,53,5,1410.550203573097,2450,41340,546,101283000
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,74,9,16,53,5,1272.6099628451286,5110,54908,518,280579880
0,37,6,10,43,2,305.90473224019394,4200,22274,74,93550800
8,83,9,16,72,5,1271.219436224887,10500,83664,332,878472000
0,36,6,26,40,2,305.8046143235365,3220,20160,144,64915200
8,5,0,22,7,5,1000.0667452777716,8050,490,50,3944500
15,59,9,10,70,5,796.4936480743987,7490,57820,413,433071800
11,106,1,29,61,5,2334.9723007097245,2295,58194,1060,133555230
8,106,9,16,61,5,1756.5132266892117,1155,45262,424,52277610
15,102,1,20,76,5,1255.9236434022291,8820,108528,1020,957216960
0,36,4,23,41,5,310.3655416379291,2300,14760,252,33948000
8,107,1,32,61,5,1788.7289474269694,5390,91378,428,492527420
36,37,6,23,43,5,417.1579860724853,570,3182,74,1813740
8,83,9,10,7,5,737.535319376154,0,8134,332,0
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,97,9,16,53,5,1450.5973702360554,5110,71974,679,367787140
8,102,9,5,79,5,1567.4016063363515,11520,128928,1122,1485250560
8,102,9,16,101,5,1933.6885665339173,9590,144228,714,1383146520
15,89,1,29,68,5,1560.7270785591916,8820,84728,1424,747300960
8,106,9,6,7,5,1080.0498364740697,6300,10388,424,65444400
0,37,6,10,43,4,358.1885331612788,6440,22274,370,143444560
8,77,9,10,75,5,1111.3088748971008,9380,80850,308,758373000
36,74,9,22,53,5,620.0302578592564,8400,54908,296,461227200
8,78,9,16,53,5,1587.4251896678306,1900,41340,312,78546000
0,56,6,26,47,5,488.3529490288561,5250,36848,392,193452000
8,74,9,16,53,5,1051.238124902663,7500,39220,148,294150000
2,74,8,5,85,5,799.8309119629785,11680,100640,740,1175475200
8,74,9,10,53,5,710.8372082675149,5250,54908,518,288267000
0,56,9,16,67,4,555.0982268004539,6440,52528,560,338280320
0,112,9,22,42,5,432.7318842191914,6440,65856,784,424112640
8,83,9,5,7,5,1206.9771063697242,11680,9296,332,108577280
15,77,9,5,75,4,899.9488286203749,7056,80850,770,570477600
8,97,9,16,30,5,1000.0667452777716,8260,40740,388,336512400
15,97,9,16,53,5,1946.7372683382648,1900,51410,679,97679000
7,97,0,33,74,5,1222.5510045164303,7910,100492,194,794891720
0,14,6,4,17,5,473.8914721783433,7490,3332,0,24956680
15,26,1,18,37,5,2446.214430329054,12320,15392,52,189629440
2,11,6,4,17,5,543.9740138385208,10960,2992,110,32792320
7,106,9,16,61,5,966.7052306049346,2030,45262,424,91881860
8,14,6,16,17,5,543.9628896255589,5670,3332,98,18892440
9,41,6,4,43,5,615.1689767948917,560,3526,410,1974560
0,35,6,26,41,5,343.7381805237279,5530,20090,140,111097700
